Utterance,Channel,ID
@BeanLearning yeah  how do you know that,Off-topic,184
Thats cool,Off-topic,185
Open a command prompt as administrator,Off-topic,186
oh,Off-topic,187
"""hey buddy, some stranger on the internet says they love you""",Off-topic,188
"@Poppa isn't there a Finnish saying about, ""if a sauna, alcohol, or pine pitch won't make you feel better, the doctor can't either?""",Off-topic,189
Ah Matlab. I remember when I thought it was the shit all the way until my 3rd/4th year of undergrad. Then I found Python and havent looked back,Off-topic,190
also bean how is the problem goin?,Off-topic,191
and hug your pupper?,Off-topic,192
any breakthrough?,Off-topic,193
bahaha,Off-topic,194
"because i hate myself, i decided to try MATLAB's neural net architecture on a problem in my CV class (which is being taught in MATLAB)(edited)",Off-topic,195
cons - it is a pain in the butt to debug and there's some nasty stuff hard-coded in,Off-topic,196
damn covid,Off-topic,197
does cool stuff with old rocks,Off-topic,198
doesn't work,Off-topic,199
for my dad,Off-topic,200
for real,Off-topic,201
"haha, i have a good friend who's Finnish",Off-topic,202
Has anyone over here used sagemaker? Are there standard values for CPU/ memory utilization in sagemaker? Like say if the % of CPU utilization exceeds x% then it is critical. So is there some standard or average value for x here?,Off-topic,203
he appreciates it  It has everything I want in life.,Off-topic,204
he doesn't use linux,Off-topic,205
"holy cow, i'm reading about CNN pre-training with random labels and it's really cool that that can actually be beneficial",Off-topic,206
i hate windows,Off-topic,207
i hope a Microsoft engineer is not online,Off-topic,208
I learned a lot in the process.,Off-topic,209
i really don't know how to take that,Off-topic,210
I wonder if my interviewers also feel the same about me sometimes...,Off-topic,211
It's also available on Linux though no one uses it,Off-topic,212
it's also MATLAB,Off-topic,213
it's cold and wet out and I wish the public sauna was still open here,Off-topic,214
It's like bash but for Windows,Off-topic,215
LMAO,Off-topic,216
lol,Off-topic,217
lol i cant make him,Off-topic,218
"lol, is that the formal way of saying ""you thirsty?""",Off-topic,219
Make him,Off-topic,220
maybe make sure you have a healthy snack and drink lots of water?,Off-topic,221
my main os is Ubuntu,Off-topic,222
"nevermind the nice things i previously said, this is hot trash(edited)",Off-topic,223
oh nice,Off-topic,224
once upon a time there was a lovely little pupper called Snoopy and he said if you don't drink a glass of water I will be very sad please drink some and forward this message to 19 people or you will be struck with bad luck for 7 years,Off-topic,225
Open a command prompt as admin,Off-topic,226
"or: Winkey-X, ""Windows PowerShell (Admin)""",Off-topic,227
Photos.,Off-topic,228
pros - it interfaces well with the GPU and is more full featured than expected,Off-topic,229
right click cmd click run as administrator,Off-topic,230
Right!? shit's dope,Off-topic,231
showmeyourdog,Off-topic,232
shOWUSYOURDOG.,Off-topic,233
still trying to decipher this,Off-topic,234
"stuff is going, i'm switching advisors so now i'm on a plan of finish the main project to get a journal paper and document the rest so that the next grad student can take it over without too much suffering",Off-topic,235
TELL YOUR PUPPY I LOVE IT.,Off-topic,236
what even is powershell,Off-topic,237
"Why do people apply for a developer role, when they don't know how to code? Or why do they even say they know Python when they are unable to make a very simple script using Python",Off-topic,238
"yeah, she's a geoscience prof",Off-topic,239
YOU HAVE A DOG!??,Off-topic,240
"(please ping me if you reply, thank you)",Resources,241
"@Sora @BeanLearning I am preparing survey documents for presentation, Latex is new for me, can u suggest software tool for Latex",Resources,242
any books that extensively describe stochastic processes as they relate to ml?,Resources,243
Anyone got any good intros to reinforcement learning? Currently reading Richard S. Sutton and Andrew G. Bartos book but just wondering if theres any other good resources people would recommend,Resources,244
anyone got resources on training models on cloud?,Resources,245
anyone know of any good reference implementations for GPU-sided non-max-suppression?,Resources,246
Blei's lectures seem legit but no lecture videos available,Resources,247
Does anyone have a database of faces labeled with bounded boxes? Trying to get a face tracker project off the ground.,Resources,248
Does anyone have a good book on ml with python?,Resources,249
does anyone have a resource that teaches convolutional neural nets,Resources,250
Does anyone know a resource that explains each topic while explaining all the math involved?,Resources,251
Does somebody know a good free book with a good chapter on Q-learning? i need to write a chapter about q-learning and cant find any good resources,Resources,252
Good ressources to learn C++ ?,Resources,253
Hello All. I have made way through week 7 of Andre Ng's ML course but stopped there. So I am restarting it again from week 1. What really gets me or demotivates me is the Math that is involved. Can anybody tell me what they brushed through and any resources I can go through to get up and running?,Resources,254
"Hello everybody. I am looking for a deep learning book or free course that doesn't assume any math background beyond high school math. I understand the mathematics behind fully connected layers pretty well (completed the first one and a half courses in Andrew NG's deep learning specialization) so I am looking for a book to expand into convolutional or recurrent networks, so that I can build my own without any libraries. Are there any resources or books that you recommend?",Resources,255
"Hello Everyone, i know the ML basic, thanks to Andrew NG, can anyone guide me how to proceed further",Resources,256
Hello everyone. Probably a very asked question around here. I'm in doubt between two courses. Andrew Ng's Machine Learning @ Coursera and Machine Learning with Python-From Linear Models to Deep Learning @ edX.,Resources,257
"Hello, I'm looking for a good video tutorial for Numpy / Pandas / Matplotlib. Any of these three would work, Thanks",Resources,258
"Hey guys, I'm just starting with NLP. Do you recommend any books or videos or any other resources?",Resources,259
hi,Resources,260
Hi .... Can anyone point me to a few case studies where NLP is used for a product in a B2B context?,Resources,261
"Hi guys, do you have any engineering focused resources? I love watching talks, and while articles and course are mostly about building a model and testing it, there are really few resources about how to have a nice workflow and pipeline to put that model in production, how to assess its performance in production and, how to improve and iterate on it after you've have your first shot",Resources,262
"Hi guys, do you know any website/app where we could practice AI skills by making bots to fight each other in a competitive way",Resources,263
"Hi, any beginner resources for image classification using CNN? Thanks :3",Resources,264
Hi. Any hands-on keras course that actually teaches how to code in Keras? Most ML courses are slow af and are for total beginners. I want something that focuses more on Keras API than Deep Learning fundamentals.,Resources,265
i swear i've read about them for hours from different sources and still have absolutely no idea what's going on,Resources,266
is there a book that’s as visually appealing as d2l.ai but about classical ml methods? that’s odd criteria but i usually lose focus trying to read black and white pdfs,Resources,267
Is there any courses or resources for ML where I can learn by making projects?,Resources,268
is there some git repo or textbook etc that succinctly lists the pros and cons of common models? whenever i learn about a new model its hard to understand why it would or would not be used,Resources,269
Suggest me a good deep learning course on Coursera beside deeplearning.ai,Resources,270
what are good resources for learning nlp?,Resources,271
"Where might I find the answers to the math/written assignments of CS224N? I was able to find a number of GitHub repositories containing answers to the coding exercises, but none to verify my math answers with.",Resources,272
"What do you guys think of Machine Learning: An Algorithmic Perspective 2nd Edition. I'm planning on buying it, is it worth it or should I purchase another book? Plus I'd love book suggestions for ML/DL. Cheers.",Resources,273
Hi everyone! Is there a YT channel that covers news and events in the Artificial intelligence field and community?,Resources,274
Any resource to learn Data Warehouse concepts with examples?,Resources,275
1st year Msc in Data Science student. resume.pdf,Resume Review,276
"Agree with this. If you have a STEM degree, especially an engineering one, that won't disqualify you from CS roles. Philosophy majors will have a more difficult time getting in the door though to any job tbh",Resume Review,277
any tips?,Resume Review,278
Do you think interviewers want to see my code wars profile?,Resume Review,279
Faraz_Khan_-_One_page2.pdf,Resume Review,280
Feel free to update your resume and repost it if you want us to take another pass. In general you have a wonderful resume that you should feel very proud of,Resume Review,281
"for example ""i successfully wrote 400 lines of code to solve xyz problem""",Resume Review,282
"Great resume Papa! I love that you started with a personal statement and prominently showcase your skills. Here are a few things I would recommend changing: 1. I assume your name and contact info is normally appended and you just redacted that for this post. If not, I would definitely add it  2. It's not clear to me if you have just a bachelors or a masters as well based on the two GPAs listed. If you have a masters, I would list that as a separate degree from the same school. Right now, its very easy to miss. 3. You don't need to list your 3.1 GPA if you don't want to 4. Your personal statement looks more like a list of projects that a statement about yourself. I would recommend you create a list of projects and list those if you have them. I would write something personal for your personal statement along the lines of what you care about and what you're excited by. 5. If you create a list of projects, make sure you explain the projects you completed. Faraz's resume below has some good examples of how to list projects. 6. A lot of what you list in your personal statement can be put in your skills section, things like data visualization, data cleaning, automation, data analysis can all be skills you put in your skills section. 7. I have a hard time understanding your certifications and extra courses section. It could use further clarification to show what is a certification, what is an extra course, and what it means that you took extra courses. Maybe touch on that in your personal statement about going above and beyond in your education. I think these should be some good tips for now. Feel free to respost your resume with edits and we'll take a second pass at it",Resume Review,283
I have certain question along with these: 1. Do I need to include my club activities that I did in college? 2. Do I need to provide my marks for the degrees? 3. Should I make some important texts in project section bold?,Resume Review,284
"I think that for a student is good enough, for the questions 1) I wouldn't 2) If they're good 3) yep, try to underline some keyword like machine learning, python and so on",Resume Review,285
I think these should be some good tips for now. Feel free to respost your resume with edits and we'll take a second pass at it,Resume Review,286
I think this advice may be out of date. ATS these days will convert everything to plaintext which once it reaches a human eye will be obvious what you're doing.,Resume Review,287
"If anyone feels uncomfortable sharing their resume publicly, feel free to message any of the experts privately, and they can share your resume anonymously with your personal information removed. That is the case with the following resume which I will give suggestions on.",Resume Review,288
"If we're game for some resume-adjacent content, I organized an application I submitted earlier today into a google doc",Resume Review,289
is it a good idea to put your individual (or best 3) coding projects on your resume?(edited),Resume Review,290
"of course that happens - that's why judging people by their college never helps. its just that because of the highly selective process, you are exposed to more smarter and like-minded people that may help you achieve more in research and competetions.",Resume Review,291
Ok cool makes sense. Only list your major gpa but you should say major because i didn’t understand it otherwise,Resume Review,292
Papa Kamis — 03/28/2021,Resume Review,293
"something for your ""other"" section at best if you're a very fresh grad or an undergrad seeking an internship but probably they aren't gonna click on it anyway",Resume Review,294
"Sure. Im a uni student, but yet i do self learning for each and every practical skill. Sigh. Guided learning is great, but if you do self learning along with it, that's a cherry on top.",Resume Review,295
"Thanks @antonai , will underline the keywords",Resume Review,296
Thanks for sharing @frazali52 i will get to this tonight,Resume Review,297
"Thanks for sharing your resume Faraz. It looks excellent. You have great formatting, I love that you bolded the key terms and figures, and I like that you led with technical skills. Improving your resume required getting a little more creative, but here are my ideas: 1. You may benefit from a personal statement. Personal statements are an opportunity to bring some humanity and a face to your resume, which is otherwise fairly flat. Just like product ads don't just list the features, but try and connect to the customer, you might benefit from a personal statement that resonates with a potential employer. Examples might be: you always go the extra mile to exceed client expectations, you love storytelling and data is a way you love to make your stories better, or youre entrepreneurial and you try new solutions. 2. Another way to bring a personal touch is to add your hobbies. Most employers want to work with people they'll also like being around, and I'm sure you're a great person to be around. If you're afraid that sharing your hobbies might be too foreign or unfamiliar to your employer, I have very unique hobbies and interests on my resume, like Talmud. Usually it's just a conversation starter. 3. You have work experience but you don't have big brand names on your resume to give you credibility (besides for your university). Since you've done a lot of projects for a lot of different people, you may benefit from a section that lists references from people you've worked for, and even reviews from those people if you have them. If you have one or two glowing reviews on your resume, itd be hard for anyone to discount that. And definitely give a brief background of the people you're providing as references if you do. 4. You have a great skills section, but you could always add more. Often the goal is hit on an employer search term, so don't be bashful about adding in additional terms that you think your employer may be searching for. Like data cleaning for example",Resume Review,298
"yes of course, just delete any address, phone number, etc.",Resume Review,299
"Yes, but be prepared to speak intelligently to anything you put on your resume",Resume Review,300
